Author,n,majority_class,majority_share,n_classes,class_entropy
Hirosawa (1975),88,3,0.75,3,0.6338224359087085
Hidalgo et al. (2002),26,2,0.7692307692307693,2,0.7793498372920851
SLDRCE (2008),22,1,0.8181818181818182,3,0.5462947022805017
Lefas et al. (1990a),13,1,1.0,1,0.0
Tomazevic et al. (1996),10,2,1.0,1,0.0
Hube et al. (2017),9,3,0.6666666666666666,3,0.7725068857142601
Gupta and Rangan (1998),8,3,0.875,2,0.5435644431995964
Gebreyohaness et al (2014),8,3,0.75,2,0.8112781244591328
Barda et al. (1977),8,3,0.875,2,0.5435644431995964
Park et al. (2015),8,3,0.875,2,0.5435644431995964
Oesterle et al. (1976),8,1,0.625,2,0.954434002924965
Kuang and Ho (2008),8,1,1.0,1,0.0
Teng and Chandra (2016),7,3,0.8571428571428571,2,0.5916727785823274
Oesterle et al. (1979),6,2,0.8333333333333334,2,0.6500224216483541
Pilakoutas et al. (1995),6,1,0.5,3,0.9206198357143047
Dazio et al. (2009),6,1,1.0,1,0.0
Kabeyasawa and Matsumoto (1992),6,2,1.0,1,0.0
Jiang et al. (2013),6,1,1.0,1,0.0
Hube et al. (2014),6,1,0.8333333333333334,2,0.6500224216483541
Salonikios et al. (1999),6,1,0.5,2,1.0
Dabbagh (2005),6,3,0.8333333333333334,2,0.6500224216483541
Villalobos (2014),6,2,0.6666666666666666,2,0.9182958340544894
Aanasopoulou (2010),5,1,0.8,2,0.7219280948873623
Tran (2012),5,1,0.4,3,0.9602297178607612
Kimura and Sugano (1996),5,2,1.0,1,0.0
Cheng et al. (2016),5,4,1.0,1,0.0
Chiou et al. (2004),4,2,1.0,1,0.0
Deng et al.(2008),4,1,1.0,1,0.0
Greifenhagen and Lestuzzi (2005),4,1,0.75,2,0.8112781244591328
Liu et al. (2009),4,1,0.5,2,1.0
Zhang and Wang (2000),4,1,1.0,1,0.0
Lefas et al. (1990b),4,1,1.0,1,0.0
Christidis and Trezos (2017),4,2,0.75,2,0.8112781244591328
Terzioglu et al. (2018),4,2,1.0,1,0.0
Tasnimi (2000),4,1,1.0,1,0.0
Oh et al. (2006),3,1,1.0,1,0.0
Tokunaga and Nakachi (2012),3,2,1.0,1,0.0
Su and Wong (2007),3,1,1.0,1,0.0
Mansur et al. (1992),3,2,1.0,1,0.0
Alarcon et al. (2014),3,1,1.0,1,0.0
Massone et al. (2009),3,2,0.3333333333333333,3,0.9999999999999998
Palermo and Vecchio (2002),2,4,1.0,1,0.0
Yuan et al. (2018),2,1,1.0,1,0.0
Hsiao et al.(2008),2,2,1.0,1,0.0
Hwang et al. (2004),2,2,0.5,2,1.0
Sittipunt and Wood (2004),2,3,1.0,1,0.0
Nakamura et al. (2009),2,4,1.0,1,0.0
Ghorbani-Renani et al. (2009),2,1,0.5,2,1.0
Han et al. (2002),2,1,1.0,1,0.0
Aoyama et al. (1984),1,3,1.0,1,0.0
Abdulridha and Palermo (2017),1,1,1.0,1,0.0
Cho et al.(2004),1,1,1.0,1,0.0
Alltin et al. (2013),1,3,1.0,1,0.0
Ghazizadeh and Cruz-Noguez (2018),1,1,1.0,1,0.0
Elnashai and Pinho (1998),1,1,1.0,1,0.0
Lu et al. (2018),1,1,1.0,1,0.0
Lu et al. (2017),1,1,1.0,1,0.0
Lombard et al.(2000),1,1,1.0,1,0.0
Lopes et al. (2001),1,2,1.0,1,0.0
Lu et al. (2021),1,1,1.0,1,0.0
Lu et al. (2022),1,1,1.0,1,0.0
Lu et al. (2019),1,1,1.0,1,0.0
Lu et al. (2020),1,1,1.0,1,0.0
Mohamed et al. (2014),1,1,1.0,1,0.0
Oh et al. (2002),1,1,1.0,1,0.0
Qiao et al. (2017),1,1,1.0,1,0.0
Ren et al. (2018),1,1,1.0,1,0.0
Shen et al. (2017),1,1,1.0,1,0.0
Paulay et al. (1982),1,4,1.0,1,0.0
Taylor et al. (1996),1,1,1.0,1,0.0
Tripathi et al. (2019),1,1,1.0,1,0.0
Wallace et al. (2008),1,2,1.0,1,0.0
Tripathi et al. (2020),1,1,1.0,1,0.0
Yanez et al. (1991),1,1,1.0,1,0.0
Zhu and Guo (2017),1,1,1.0,1,0.0
