method,model,cv_rmse_kN,cv_mae_kN,cv_nrmse,cv_nmae,n_folds
GroupKFold_Source,Ridge,27.29779209797852,22.882201924136115,0.4885450448807151,0.4095198002048121,5
GroupKFold_Source,RBF_SVR,34.30504536623175,26.74554197817809,0.6139529478401203,0.4786614961088984,5
GroupKFold_Source,ExtraTrees,25.641398257556503,20.95428336246745,0.4589007791391997,0.3750160917416456,5
GroupKFold_Source,HistGradientBoosting,26.850950868893023,22.482561587078266,0.4805479853553663,0.4023674889225187,5
ClaimCut_C_source,Ridge,29.018355024860718,25.0284971817632,0.5193377364404109,0.4479317680739035,5
ClaimCut_C_source,RBF_SVR,34.22911453798458,28.018416346805925,0.6125940236545782,0.501441963603002,5
ClaimCut_C_source,ExtraTrees,24.52896057586803,19.58020287557233,0.4389916262239446,0.3504243514745049,5
ClaimCut_C_source,HistGradientBoosting,26.70632299983918,21.954204093484567,0.4779595991399425,0.3929115433832488,5
RandomKFold,Ridge,22.373684582352844,18.429395443748472,0.4004189312893906,0.3298285001173148,5
RandomKFold,RBF_SVR,25.23491303189785,18.77754314604849,0.4516259657733429,0.3360592543935142,5
RandomKFold,ExtraTrees,17.756305971621643,12.879209637527694,0.3177823051287725,0.2304975445563618,5
RandomKFold,HistGradientBoosting,16.415418126785607,12.303221445782736,0.2937846092717534,0.2201891585895846,5
DataSAIL_C1e_Scalar_C_deck,Ridge,27.92906333736981,24.23052951353659,0.4998428243814667,0.4336506442054279,5
DataSAIL_C1e_Scalar_C_deck,RBF_SVR,33.17264923842761,26.33291519974569,0.5936866012031778,0.4712767681695582,5
DataSAIL_C1e_Scalar_C_deck,ExtraTrees,25.1013135373296,20.381689768128147,0.4492349529457992,0.3647684584443864,5
DataSAIL_C1e_Scalar_C_deck,HistGradientBoosting,25.95803716987401,21.40150704988987,0.4645676246875102,0.3830199960742485,5
